,Unnamed: 0,kepler_id,quarter,time_start_index,time_end_index,flare_start_time,flare_end_time,flare_peak_index,flare_peak_time,energy,excluded,Teff,Radius,logg,Prot,flare_amp,flare_duration,time_start_BJD,time_end_BJD,flare_peak_BJD
371,1605,5510843,3,347,357,267.3962847799703,267.74364148999297,348,267.55974671310105,2.442482000440768e+35,False,5161,0.632,4.63,,0.028089969493634882,0.34735671002272284,55100.39628477997,55100.74364148999,55100.559746713094
436,134,6836589,13,2485,2498,1235.2539203989365,1235.580870703343,2489,1235.3969612603325,2.6616805021194674e+36,False,5641,1.14,4.252,,0.07247352001229196,0.3269503044066369,56068.253920398936,56068.58087070334,56068.39696126033
435,133,6836589,13,2311,2323,1231.596161160356,1231.9026773279693,2315,1231.7392019410765,2.4953275648449072e+36,False,5641,1.14,4.252,,0.06445082907258738,0.3065161676131538,56064.59616116036,56064.90267732797,56064.73920194108
1564,2390,11818232,2,1372,1386,200.2931444870337,200.599652463432,1376,200.3953137511853,5.573344334102413e+35,False,5790,0.8029999999999999,4.565,,0.02758542837381615,0.3065079763982794,55033.29314448704,55033.599652463425,55033.39531375119
652,837,7287601,2,2302,2316,219.52193911742503,219.80800890065441,2306,219.60367334722832,3.9907429754875014e+35,False,5659,0.775,4.567,,0.03841922027308435,0.28606978322932264,55052.52193911743,55052.808008900654,55052.60367334723
149,636,4142137,1,475,488,141.28054297829658,141.5461903361211,479,141.36228066074543,3.0685107042690227e+35,False,5645,0.871,4.431,,0.021188448924198848,0.2656473578244913,54974.280542978304,54974.54619033612,54974.362280660745
1569,2399,11818232,6,1204,1216,564.2563034971607,564.5015107679719,1207,564.3176053176576,3.2609420235850387e+35,False,5790,0.8029999999999999,4.565,,0.025676737505857774,0.2452072708110791,55397.25630349716,55397.50151076797,55397.317605317665
116,533,3869649,2,3522,3533,246.16740122865303,246.41259872709637,3526,246.26956685866756,3.524870640922182e+35,False,5525,0.901,4.455,,0.012115198259360823,0.24519749844330366,55079.16740122865,55079.412598727096,55079.269566858675
1346,911,10861194,15,2890,2901,1440.7123607949106,1440.9575552457754,2891,1440.732793748808,1.850079420829863e+35,False,5255,0.659,4.6080000000000005,,0.025348734432052808,0.2451944508648012,56273.71236079491,56273.95755524577,56273.73279374881
1681,2945,12354328,5,1503,1513,474.61174961665535,474.8365256992984,1505,474.652617912936,3.464903291378953e+35,False,5251,0.633,4.63,,0.03369867154793501,0.2247760826430749,55307.61174961666,55307.8365256993,55307.652617912936
